study_accession	curation_status	n_runs	n_samples	study_title	first_public_year	platforms	targets	countries
PRJDB12181	KEEP	52	52	Metagenomic Analysis of Microbiome in Shoot Xylem of Grapevine in Japan	2022	ILLUMINA		Japan:Ehime, Japan:Hiroshima, Japan:Hokkaido, Japan:Miyagi, Japan:Nagano, Japan:Shimane, Japan:Yamanashi
PRJNA867147	KEEP	36	12	Free-living soil nematode community structure and distribution within soil aggregates under conventional and organic vineyard managements	2022	ILLUMINA	18S	Israel
PRJNA907731	KEEP	16	8	Soil from different vineyards Metagenome	2022	ILLUMINA		Spain:Cordoba
PRJNA798301	KEEP	12	12	Soil composition and rootstock genotype drive the root associated microbial communities in young grapevines	2022	ILLUMINA		France: Villenave d'Ornon
PRJNA803359	KEEP	9	9	Yeasts on grape skin in different vineyards	2022	ILLUMINA		Italy
PRJNA721258	KEEP	1	1	Above-ground parts of white grapevine Vitis vinifera cv. Furmint share core members of the fungal microbiome	2022	ILLUMINA	ITS	Hungary: Mad
PRJEB31356	KEEP	720	351	Core microbiome and mycobiome of vineyard soils from Northern Italy	2021	ILLUMINA		Italy
PRJEB45622	KEEP	84	84	A Characterization of the Grape Root Microbiome Across Rootstocks and Root Depth in a Cool Climate Organic Vineyard	2021	ILLUMINA		
PRJNA679172	KEEP	65	65	Study of abuscular mycorrhizal fungi associated to vine plants	2021	ILLUMINA	18S	Spain: Mallorca Island
PRJEB39597	KEEP	54	27	Snapshot of a vineyard: how do long-term agronomic practices influence soil bacterial and fungal diversity?	2021	ILLUMINA		Italy
PRJEB42324	KEEP	48	48	Interactive effects of scion and rootstock genotypes on the root microbiome of grapevines	2021	ILLUMINA		Germany
PRJNA742427	KEEP	25	25	Influence of Climate on Soil and Wine Bacterial Diversity on a Vineyard in a Non-Traditional Wine Region in Argentina	2021	ILLUMINA	16S (unspecified)	Argentina: Buenos Aires
PRJNA753154	KEEP	23	23	Effect of brassicas on fungal community in a vineyard	2021	ILLUMINA	ITS	Canada: Kelowna
PRJNA686129	KEEP	8	8	Brazilian vineyard fungal sequencing	2021	ILLUMINA	ITS	Brazil
PRJEB40350	KEEP	504	504	The specific microbial biodiversity linked to a certain vineyard location has been reported to be a crucial aspect in the concept of wine-terroir together with edaphic, climatic and human factors. These biogeographical patterns referred as the microbial-terroir. In this work, we applied an HTS amplicon library approach to conduct a global survey of the soil microbial communities of vineyards. We analyzed 200 soil vineyards worldwide, in four continents trying to settle the basis for the development of a vineyard-soil-microbiome map to represent the microbial-wine-terroir on a global scale. We highlighted that this link exists at different scales among continents, states, and between different wine-regions within the same country. Geography has a strong effect on microbial communities composition at a global scale, which is also maintained at a country scale. Also, for the very first time, we describe the microbial community of a new and northern winemaker regions such as Denmark, that can be of great interest for viticulture adaptation in a context of climate change. Finally, we developed a predictive model, based on random forest analyses, to discriminate between microbial patterns to identify the geographical source of the samples with reasonable precision.	2020	ILLUMINA		Argentina, Australia, Chile, Croatia, Denmark, France, Germany, Hungary, Italy, Portugal, South Africa, Spain, USA
PRJNA672044	KEEP	350	350	Fungal (local) networks in vineyard soils	2020	ILLUMINA	ITS	Spain, USA
PRJNA587381	KEEP	180	180	BC vineyard and wine-associated fungi	2020	ILLUMINA	ITS1	Canada: Oliver British Columbia
PRJNA626608	KEEP	160	160	Fungal communities associated with the grapevine in an annual growth cycle	2020	ILLUMINA	ITS	Australia:Victoria
PRJNA678415	KEEP	133	133	Vineyard ecosystem vulnerability to pathogens and drought in the context of climate change	2020	ILLUMINA		France
PRJEB40549	KEEP	131	131	Bacterial community dynamics varies with soil management and irrigation practices in grapevines (Vitis vinifera L.)	2020	ILLUMINA		Cyprus
PRJEB38750	KEEP	83	83	Description of microbiota associated with 'Candidatus Phytoplasma solani' insect vectors to grapevine: is microbial resource management a possible strategy for their biological control?	2020	ILLUMINA		Italy
PRJNA605898	KEEP	34	34	Grapevine endophytes	2020	ILLUMINA		Australia: Harden, sample 1, Australia: Harden, sample 2, Australia: Harden, sample 3, Australia: Harden, sample 4, Australia: Harden, sample 5, Australia: Harden, sample 6, Australia: Harden, sample 7, Australia: Harden, sample 8, Australia: Harden, sample 9, Australia: Hunter Valley, sample 1, Australia: Hunter Valley, sample 2, Australia: Hunter Valley, sample 3, Australia: Hunter Valley, sample 4, Australia: Hunter Valley, sample 5, Australia: Hunter Valley, sample 6, Australia: Hunter Valley, sample 7, Australia: Hunter Valley, sample 8
PRJNA646865	KEEP	33	33	Microbiome during spontaneous wine fermentation	2020	ILLUMINA	ITS	Australia:Victoria
PRJNA615973	KEEP	16	16	Rhizosphere microbial diversity of red fescue and grapevine with varying root biomass in sample	2020	ILLUMINA	16S (unspecified)	USA:Pennsylvania
PRJNA600377	KEEP	4	4	Discovering the microbiota of Vitis vinifera cv. Pinot Noir in a conventionally managed vineyard	2020	LS454		Italy: Piedmont
PRJNA613620	KEEP	4	4	Vitis vinifera association with local AMF communities in an Italian vineyard at two different phenological stages	2020	LS454		Italy: Piedmont
PRJNA609931	KEEP	2	2	Effect of cover crop in vineyard on soil microbial diversity	2020	ILLUMINA		Italy:Sicily
PRJNA593824	KEEP	388	388	Vertical stratification of microbial communities in vineyard soils	2019	ILLUMINA	16S (unspecified), ITS	Australia, Denmark, Spain
PRJNA594469	KEEP	200	200	Microbial terroir_ Fungal communities structure and distinguish vineyard ecosystems to impact the flavour and quality of wine_fungi data	2019	ILLUMINA	ITS	Australia:Victoria
PRJNA594458	KEEP	150	150	Microbial terroir_ Fungal communities structure and distinguish vineyard ecosystems to impact the flavour and quality of wine_bacteria data	2019	ILLUMINA	16S (unspecified)	Australia:Victoria
PRJEB30496	KEEP	120	120	Seasonal microbial dynamics on grapevine leaves under biocontrol and copper fungicide treatments	2019	ILLUMINA		South Africa
PRJEB31028	KEEP	95	95	Wood mycobiome of a vineyard affected by esca	2019	ILLUMINA		Portugal
PRJEB32853	KEEP	78	78	Fungicides and the grapevine wood mycobiome. A case study on tracheomycotic ascomycete Phaeomoniella chlamydospora reveals potential for two novel control strategies.	2019	ILLUMINA		Portugal
PRJNA548498	KEEP	60	60	Soil-compartments Grapevine	2019	ILLUMINA		Spain
PRJEB21990	KEEP	46	46	Early effects of agroforestry practices on soil microbial communities in vineyards	2019	ILLUMINA		France
PRJNA484333	KEEP	36	36	Bark and grape epiphytic microbial communities in vineyards	2019	ILLUMINA	16S (unspecified)	Italy: Piedmont, Italy: Tuscany
PRJNA486612	KEEP	22	22	Rhizosphere microbiome in esca-symptomatic and -asymptomatic grapevines.	2019	ILLUMINA		Italy: Puglia
PRJNA587013	KEEP	20	20	Small scale fungal community differentiation in a vineyard system	2019	LS454		New Zealand
